year,avg_temp,moving_avg_temp
1796,26.53,#N/A
1797,27.48,#N/A
1798,26.2,#N/A
1799,26.84,#N/A
1800,26.88,#N/A
1801,26.05,#N/A
1802,27.44,#N/A
1803,27.22,#N/A
1804,27.65,#N/A
1805,27.02,26.931
1806,26.89,26.967
1807,26.15,26.834
1808,,26.90444444
1809,,26.9125
1810,,26.91714286
1811,,27.06166667
1812,,26.986
1813,26.25,26.792
1814,25.65,26.392
1815,25.8,26.148
1816,25.38,25.846
1817,25.61,25.738
1818,25.83,25.75333333
1819,25.78,25.75714286
1820,25.88,25.7725
1821,26.45,25.84777778
1822,26.43,25.906
1823,26.65,25.946
1824,27.1,26.091
1825,26.72,26.183
1826,26.89,26.334
1827,26.73,26.446
1828,26.63,26.526
1829,26.47,26.595
1830,26.45,26.652
1831,26.41,26.648
1832,26.63,26.668
1833,26.5,26.653
1834,26.56,26.599
1835,25.8,26.507
1836,26.19,26.437
1837,26.24,26.388
1838,26.33,26.358
1839,26.34,26.345
1840,26.44,26.344
1841,26.12,26.315
1842,26.27,26.279
1843,26.01,26.23
1844,26.08,26.182
1845,26.39,26.241
1846,26.82,26.304
1847,26.31,26.311
1848,26.32,26.31
1849,26.26,26.302
1850,26.47,26.305
1851,26.45,26.338
1852,26.4,26.351
1853,26.7,26.42
1854,26.79,26.491
1855,26.81,26.533
1856,26.24,26.475
1857,25.82,26.426
1858,26.6,26.454
1859,26.6,26.488
1860,26.41,26.482
1861,26.26,26.463
1862,24.38,26.261
1863,,26.21222222
1864,,26.14
1865,26.96,26.15875
1866,26.97,26.25
1867,26.91,26.38625
1868,26.8,26.41125
1869,26.78,26.43375
1870,26.45,26.43875
1871,26.59,26.48
1872,26.54,26.75
1873,26.6,26.73333333
1874,26.57,26.717
1875,26.6,26.681
1876,26.9,26.674
1877,27.22,26.705
1878,27.34,26.759
1879,26.29,26.71
1880,26.71,26.736
1881,26.61,26.738
1882,26.52,26.736
1883,26.28,26.704
1884,26.18,26.665
1885,26.53,26.658
1886,26.51,26.619
1887,26.28,26.525
1888,26.81,26.472
1889,26.89,26.532
1890,26.69,26.53
1891,27,26.569
1892,26.79,26.596
1893,25.9,26.558
1894,26.75,26.615
1895,26.63,26.625
1896,27.44,26.718
1897,27.6,26.85
1898,26.89,26.858
1899,27.19,26.888
1900,27.65,26.984
1901,27.01,26.985
1902,27.38,27.044
1903,26.73,27.127
1904,26.68,27.12
1905,26.92,27.149
1906,27.1,27.115
1907,26.67,27.022
1908,26.65,26.998
1909,26.77,26.956
1910,26.61,26.852
1911,27.03,26.854
1912,27.15,26.831
1913,27.03,26.861
1914,26.75,26.868
1915,27.01,26.877
1916,26.66,26.833
1917,25.93,26.759
1918,26.76,26.77
1919,27.05,26.798
1920,27.24,26.861
1921,26.94,26.852
1922,26.85,26.822
1923,26.93,26.812
1924,27.13,26.85
1925,26.56,26.805
1926,27.13,26.852
1927,27.25,26.984
1928,27.19,27.027
1929,27.2,27.042
1930,27.03,27.021
1931,27.11,27.038
1932,26.66,27.019
1933,26.36,26.962
1934,26.72,26.921
1935,26.98,26.963
1936,27.09,26.959
1937,26.85,26.919
1938,26.68,26.868
1939,26.85,26.833
1940,26.72,26.802
1941,27.74,26.865
1942,27.19,26.918
1943,26.53,26.935
1944,26.85,26.948
1945,26.7,26.92
1946,26.93,26.904
1947,27.07,26.926
1948,27.26,26.984
1949,26.86,26.985
1950,26.88,27.001
1951,27.1,26.937
1952,27.28,26.946
1953,27.44,27.037
1954,27.03,27.055
1955,26.81,27.066
1956,26.79,27.052
1957,27.24,27.069
1958,27.55,27.098
1959,27.38,27.15
1960,27.31,27.193
1961,27.04,27.187
1962,26.73,27.132
1963,26.81,27.069
1964,27.2,27.086
1965,27.21,27.126
1966,27.46,27.193
1967,27.01,27.17
1968,26.9,27.105
1969,27.34,27.101
1970,26.84,27.054
1971,26.71,27.021
1972,27.68,27.116
1973,27.63,27.198
1974,27.01,27.179
1975,26.72,27.13
1976,27.12,27.096
1977,27.32,27.127
1978,27.01,27.138
1979,27.67,27.171
1980,27.7,27.257
1981,27.1,27.296
1982,27.43,27.271
1983,27.35,27.243
1984,27.38,27.28
1985,27.51,27.359
1986,27.71,27.418
1987,27.54,27.44
1988,27.44,27.483
1989,27.06,27.422
1990,26.91,27.343
1991,27.35,27.368
1992,27.24,27.349
1993,27.24,27.338
1994,27.07,27.307
1995,27.24,27.28
1996,27.37,27.246
1997,27.47,27.239
1998,27.87,27.282
1999,27.24,27.3
2000,27.23,27.332
2001,27.56,27.353
2002,27.67,27.396
2003,27.84,27.456
2004,27.23,27.472
2005,27.49,27.497
2006,27.47,27.507
2007,27.55,27.515
2008,27.45,27.473
2009,28.03,27.552
2010,27.69,27.598
2011,27.41,27.583
2012,28.02,27.618
2013,28.85,27.719
